#: table_doi: 10.17182/hepdata.86210.v1/t6
#: name: Table 6
#: description: Additional systematic error for pp data: +3.0 pct -3.0 pct
Additional systematic error for PBPB 0-5 pct data: +0.08 pct -0.08 pct
Additional systematic error for PBPB 5-10 pct data: +0.24 pct -0.24 pct
Additional systematic error for PBPB 10-20 pct data: +0.46 pct -0.46 pct
Additional systematic error for PBPB 20-30 pct data: +0.81 pct -0.81 pct
Additional systematic error for PBPB 30-40 pct data: +1.26 pct -1.26 pct
Additional systematic error for PBPB 40-50 pct data: +1.86 pct -1.86 pct
Additional systematic error for PBPB 50-60 pct data: +2.64 pct -2.64 pct
Additional systematic error for PBPB 60-70 pct data: +3.67 pct -3.67 pct
Additional systematic error for PBPB 70-80 pct data: +5.01 pct -5.01 pct.

#: data_file: Fig5.yaml
#: keyword reactions: P P --> CHARGED X : PB PB --> CHARGED X
#: keyword observables: SPECTRA RATIOS
#: keyword cmenergies: 5020 and 2760
#: CENT,,,-
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
1.9,1.8,2.0,1.390997,0.00060554,-0.00060554,0.045783,-0.045783
2.1,2.0,2.2,1.424556,0.00089764,-0.00089764,0.047684,-0.047684
2.3,2.2,2.4,1.454142,0.0010347,-0.0010347,0.049685,-0.049685
2.5,2.4,2.6,1.481958,0.0012025,-0.0012025,0.050382,-0.050382
2.7,2.6,2.8,1.51087,0.0014015,-0.0014015,0.052659,-0.052659
2.9,2.8,3.0,1.544086,0.0016439,-0.0016439,0.055981,-0.055981
3.1,3.0,3.2,1.567618,0.0019272,-0.0019272,0.055622,-0.055622
3.4000000000000004,3.2,3.6,1.605566,0.0015034,-0.0015034,0.057512,-0.057512
3.8,3.6,4.0,1.64624,0.0020753,-0.0020753,0.059325,-0.059325
4.5,4.0,5.0,1.687213,0.0021153,-0.0021153,0.061419,-0.061419
5.5,5.0,6.0,1.731286,0.0038961,-0.0038961,0.055767,-0.055767
7.0,6.0,8.0,1.780478,0.0052325,-0.0052325,0.053933,-0.053933
9.0,8.0,10.0,1.88244,0.010646,-0.010646,0.056564,-0.056564
11.5,10.0,13.0,1.95399,0.015774,-0.015774,0.064132,-0.064132
16.5,13.0,20.0,2.169095,0.025172,-0.025172,0.085412,-0.085412
25.0,20.0,30.0,2.333463,0.063039,-0.063039,0.11902,-0.11902
40.0,30.0,50.0,2.474213,0.13419,-0.13419,0.17975,-0.17975

#: CENT,,,20-30 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
0.175,0.15,0.2,1.167878,0.00082994,-0.00082994,0.070749,-0.070749
0.225,0.2,0.25,1.171751,0.00047966,-0.00047966,0.045081,-0.045081
0.275,0.25,0.3,1.164349,0.00040304,-0.00040304,0.039135,-0.039135
0.32499999999999996,0.3,0.35,1.174148,0.00037383,-0.00037383,0.034327,-0.034327
0.375,0.35,0.4,1.183581,0.00036665,-0.00036665,0.037456,-0.037456
0.42500000000000004,0.4,0.45,1.190022,0.00036544,-0.00036544,0.039468,-0.039468
0.475,0.45,0.5,1.197629,0.00038064,-0.00038064,0.040095,-0.040095
0.525,0.5,0.55,1.204729,0.00040424,-0.00040424,0.039566,-0.039566
0.575,0.55,0.6,1.214836,0.00043255,-0.00043255,0.038328,-0.038328
0.625,0.6,0.65,1.220711,0.00046206,-0.00046206,0.037233,-0.037233
0.675,0.65,0.7,1.224985,0.00049996,-0.00049996,0.03608,-0.03608
0.725,0.7,0.75,1.228874,0.00053812,-0.00053812,0.034644,-0.034644
0.775,0.75,0.8,1.233625,0.00057432,-0.00057432,0.033863,-0.033863
0.825,0.8,0.85,1.241314,0.00062789,-0.00062789,0.032456,-0.032456
0.875,0.85,0.9,1.251454,0.00066991,-0.00066991,0.031517,-0.031517
0.925,0.9,0.95,1.259906,0.00073035,-0.00073035,0.029775,-0.029775
0.975,0.95,1.0,1.265104,0.00078248,-0.00078248,0.031851,-0.031851
