#: table_doi: 10.17182/hepdata.86210.v1/t2
#: name: Table 2
#: description: Transverse momentum spectra of charged particles in PbPb collisions in nine centrality classes.
#: data_file: Fig3_PbPb_5020GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword cmenergies: 5020
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
2.5,2.4,2.6,28.85666,0.018362,-0.018362,0.47954,-0.47954
2.7,2.6,2.8,20.10484,0.0143,-0.0143,0.34852,-0.34852
2.9,2.8,3.0,14.08605,0.011316,-0.011316,0.25507,-0.25507
3.1,3.0,3.2,9.940289,0.0090762,-0.0090762,0.1959,-0.1959
3.3,3.2,3.4,6.987364,0.0057588,-0.0057588,0.13991,-0.13991
3.5,3.4,3.6,5.000365,0.0044558,-0.0044558,0.1006,-0.1006
3.7,3.6,3.8,3.555654,0.0037589,-0.0037589,0.07287,-0.07287
3.9,3.8,4.0,2.591598,0.0029841,-0.0029841,0.053295,-0.053295
4.25,4.0,4.5,1.533574,0.001437,-0.001437,0.031481,-0.031481
4.75,4.5,5.0,0.7693829,0.00090494,-0.00090494,0.01626,-0.01626
5.25,5.0,5.5,0.4015898,0.00062697,-0.00062697,0.0068967,-0.0068967
5.75,5.5,6.0,0.2358934,0.00045631,-0.00045631,0.0042665,-0.0042665
6.25,6.0,6.5,0.1432653,0.00034318,-0.00034318,0.0022618,-0.0022618
6.75,6.5,7.0,0.09535101,0.000274,-0.000274,0.0016267,-0.0016267
7.5,7.0,8.0,0.05688753,0.00015091,-0.00015091,0.00098099,-0.00098099
8.5,8.0,9.0,0.03058604,0.000112,-0.000112,0.00050881,-0.00050881
9.5,9.0,10.0,0.0180502,8.3512e-05,-8.3512e-05,0.00032211,-0.00032211
10.5,10.0,11.0,0.01127142,6.4645e-05,-6.4645e-05,0.00022992,-0.00022992
11.5,11.0,12.0,0.007301971,5.1492e-05,-5.1492e-05,0.00015756,-0.00015756
12.5,12.0,13.0,0.005083344,4.2709e-05,-4.2709e-05,0.0001158,-0.0001158
13.5,13.0,14.0,0.003596685,3.5961e-05,-3.5961e-05,8.8548e-05,-8.8548e-05
14.5,14.0,15.0,0.002659248,3.0839e-05,-3.0839e-05,6.8698e-05,-6.8698e-05
15.5,15.0,16.0,0.001917945,2.6134e-05,-2.6134e-05,5.1913e-05,-5.1913e-05
17.0,16.0,18.0,0.001283479,1.5143e-05,-1.5143e-05,3.7153e-05,-3.7153e-05
19.0,18.0,20.0,0.0007770593,1.1747e-05,-1.1747e-05,2.448e-05,-2.448e-05
21.0,20.0,22.0,0.0004967606,1.151e-05,-1.151e-05,1.799e-05,-1.799e-05
23.0,22.0,24.0,0.0003335162,8.9256e-06,-8.9256e-06,1.2911e-05,-1.2911e-05
25.0,24.0,26.0,0.0002144688,6.8461e-06,-6.8461e-06,8.8487e-06,-8.8487e-06
28.0,26.0,30.0,0.0001293482,3.6373e-06,-3.6373e-06,5.841e-06,-5.841e-06
32.0,30.0,34.0,6.823058e-05,2.5698e-06,-2.5698e-06,3.444e-06,-3.444e-06
37.0,34.0,40.0,3.615812e-05,1.5173e-06,-1.5173e-06,2.0711e-06,-2.0711e-06
45.0,40.0,50.0,1.34543e-05,7.0925e-07,-7.0925e-07,9.2096e-07,-9.2096e-07

#: CENT,,,20-30 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.175,0.15,0.2,945.034,0.61423,-0.61423,37.66,-37.66
0.225,0.2,0.25,1001.292,0.36826,-0.36826,26.769,-26.769
0.275,0.25,0.3,987.807,0.30219,-0.30219,22.125,-22.125
0.32499999999999996,0.3,0.35,951.39,0.26339,-0.26339,16.322,-16.322
0.375,0.35,0.4,896.171,0.23862,-0.23862,16.684,-16.684
0.42500000000000004,0.4,0.45,832.726,0.21768,-0.21768,17.025,-17.025
0.475,0.45,0.5,765.728,0.20601,-0.20601,16.036,-16.036
0.525,0.5,0.55,702.155,0.19841,-0.19841,14.364,-14.364
0.575,0.55,0.6,643.21,0.19248,-0.19248,12.706,-12.706
0.625,0.6,0.65,586.959,0.18604,-0.18604,11.206,-11.206
0.675,0.65,0.7,535.227,0.18296,-0.18296,9.8898,-9.8898
0.725,0.7,0.75,487.764,0.17924,-0.17924,8.4486,-8.4486
0.775,0.75,0.8,444.247,0.17307,-0.17307,7.2149,-7.2149
0.825,0.8,0.85,404.813,0.17256,-0.17256,5.9211,-5.9211
0.875,0.85,0.9,369.249,0.16559,-0.16559,4.8385,-4.8385
0.925,0.9,0.95,336.502,0.16405,-0.16405,3.3794,-3.3794
0.975,0.95,1.0,306.082,0.15962,-0.15962,3.9513,-3.9513
1.05,1.0,1.1,266.365,0.10577,-0.10577,3.5362,-3.5362
1.15,1.1,1.2,220.98,0.097023,-0.097023,2.721,-2.721
1.25,1.2,1.3,182.135,0.06735,-0.06735,2.4175,-2.4175
1.35,1.3,1.4,153.593,0.057694,-0.057694,2.0252,-2.0252
1.45,1.4,1.5,126.407,0.0553,-0.0553,1.5737,-1.5737
1.55,1.5,1.6,106.026,0.047156,-0.047156,1.3847,-1.3847
1.65,1.6,1.7,87.987,0.04428,-0.04428,1.2763,-1.2763
1.75,1.7,1.8,73.725,0.037769,-0.037769,1.0501,-1.0501
1.85,1.8,1.9,61.22,0.033987,-0.033987,1.0346,-1.0346
1.95,1.9,2.0,51.265,0.02906,-0.02906,0.85645,-0.85645
2.1,2.0,2.2,39.20904,0.023816,-0.023816,0.63793,-0.63793
2.3,2.2,2.4,27.34302,0.019094,-0.019094,0.47987,-0.47987
2.5,2.4,2.6,19.10147,0.014926,-0.014926,0.31027,-0.31027
2.7,2.6,2.8,13.39633,0.011627,-0.011627,0.24296,-0.24296
2.9,2.8,3.0,9.393338,0.0092572,-0.0092572,0.16776,-0.16776
3.1,3.0,3.2,6.677773,0.0069967,-0.0069967,0.11753,-0.11753
3.3,3.2,3.4,4.729239,0.0047797,-0.0047797,0.085075,-0.085075
3.5,3.4,3.6,3.418811,0.0037171,-0.0037171,0.061572,-0.061572
3.7,3.6,3.8,2.469268,0.0031218,-0.0031218,0.045244,-0.045244
3.9,3.8,4.0,1.816197,0.0024923,-0.0024923,0.03336,-0.03336
4.25,4.0,4.5,1.103277,0.0011875,-0.0011875,0.020885,-0.020885
4.75,4.5,5.0,0.5689541,0.00076659,-0.00076659,0.010984,-0.010984
5.25,5.0,5.5,0.3028198,0.00057714,-0.00057714,0.0046877,-0.0046877
5.75,5.5,6.0,0.1812342,0.00041598,-0.00041598,0.002937,-0.002937
6.25,6.0,6.5,0.1117977,0.00030542,-0.00030542,0.0015745,-0.0015745
6.75,6.5,7.0,0.07490949,0.00024414,-0.00024414,0.001151,-0.001151
7.5,7.0,8.0,0.04493171,0.00013501,-0.00013501,0.00072095,-0.00072095
8.5,8.0,9.0,0.02385097,9.7061e-05,-9.7061e-05,0.00036004,-0.00036004
9.5,9.0,10.0,0.01412105,7.3003e-05,-7.3003e-05,0.00022864,-0.00022864
10.5,10.0,11.0,0.008638468,5.6105e-05,-5.6105e-05,0.00016208,-0.00016208
11.5,11.0,12.0,0.005770218,4.552e-05,-4.552e-05,0.00011445,-0.00011445
12.5,12.0,13.0,0.003838037,3.6939e-05,-3.6939e-05,8.0343e-05,-8.0343e-05
13.5,13.0,14.0,0.002766734,3.1429e-05,-3.1429e-05,6.2866e-05,-6.2866e-05
14.5,14.0,15.0,0.002006576,2.6709e-05,-2.6709e-05,4.7822e-05,-4.7822e-05
15.5,15.0,16.0,0.001446038,2.2638e-05,-2.2638e-05,3.6098e-05,-3.6098e-05
17.0,16.0,18.0,0.0009529225,1.3009e-05,-1.3009e-05,2.5435e-05,-2.5435e-05
19.0,18.0,20.0,0.0005689588,1.0029e-05,-1.0029e-05,1.6526e-05,-1.6526e-05
21.0,20.0,22.0,0.0003734774,8.2837e-06,-8.2837e-06,1.2595e-05,-1.2595e-05
23.0,22.0,24.0,0.0002407235,6.6487e-06,-6.6487e-06,8.6686e-06,-8.6686e-06
25.0,24.0,26.0,0.0001620492,5.4535e-06,-5.4535e-06,6.2141e-06,-6.2141e-06
28.0,26.0,30.0,9.315207e-05,2.9225e-06,-2.9225e-06,3.9057e-06,-3.9057e-06
32.0,30.0,34.0,5.374809e-05,2.2184e-06,-2.2184e-06,2.5165e-06,-2.5165e-06
37.0,34.0,40.0,2.620045e-05,1.2635e-06,-1.2635e-06,1.3907e-06,-1.3907e-06
45.0,40.0,50.0,8.271149e-06,5.4898e-07,-5.4898e-07,5.2396e-07,-5.2396e-07

#: CENT,,,30-40 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.175,0.15,0.2,633.729,0.41792,-0.41792,22.997,-22.997
0.225,0.2,0.25,667.43,0.24998,-0.24998,16.006,-16.006
0.275,0.25,0.3,655.581,0.20568,-0.20568,13.259,-13.259
0.32499999999999996,0.3,0.35,627.715,0.18144,-0.18144,9.2008,-9.2008
0.375,0.35,0.4,588.943,0.16451,-0.16451,10.06,-10.06
0.42500000000000004,0.4,0.45,545.094,0.15093,-0.15093,10.651,-10.651
0.475,0.45,0.5,499.827,0.14281,-0.14281,10.258,-10.258
0.525,0.5,0.55,456.88,0.13803,-0.13803,8.9473,-8.9473
0.575,0.55,0.6,417.66,0.1333,-0.1333,7.5959,-7.5959
0.625,0.6,0.65,379.937,0.12989,-0.12989,6.7873,-6.7873
0.675,0.65,0.7,345.64,0.12684,-0.12684,6.113,-6.113
0.725,0.7,0.75,314.335,0.12346,-0.12346,5.2013,-5.2013
0.775,0.75,0.8,285.705,0.1199,-0.1199,4.3898,-4.3898
0.825,0.8,0.85,259.946,0.11936,-0.11936,4.0253,-4.0253
0.875,0.85,0.9,236.35,0.1174,-0.1174,3.023,-3.023
0.925,0.9,0.95,215.289,0.11252,-0.11252,2.0507,-2.0507
0.975,0.95,1.0,195.418,0.11082,-0.11082,2.3388,-2.3388
1.05,1.0,1.1,169.57,0.072902,-0.072902,1.973,-1.973
1.15,1.1,1.2,140.32,0.067191,-0.067191,1.5432,-1.5432
1.25,1.2,1.3,115.326,0.047364,-0.047364,1.3241,-1.3241
1.35,1.3,1.4,97.058,0.040675,-0.040675,1.1007,-1.1007
1.45,1.4,1.5,79.965,0.037276,-0.037276,0.87495,-0.87495
1.55,1.5,1.6,66.935,0.031931,-0.031931,0.7539,-0.7539
1.65,1.6,1.7,55.409,0.030339,-0.030339,0.6867,-0.6867
1.75,1.7,1.8,46.367,0.026002,-0.026002,0.56548,-0.56548
1.85,1.8,1.9,38.502,0.023615,-0.023615,0.47366,-0.47366
1.95,1.9,2.0,32.235,0.020312,-0.020312,0.39042,-0.39042
2.1,2.0,2.2,24.59533,0.016859,-0.016859,0.33936,-0.33936
2.3,2.2,2.4,17.19922,0.013659,-0.013659,0.24157,-0.24157
2.5,2.4,2.6,12.02969,0.010851,-0.010851,0.186,-0.186
2.7,2.6,2.8,8.4863,0.0081589,-0.0081589,0.13529,-0.13529
2.9,2.8,3.0,6.000816,0.0065815,-0.0065815,0.09848,-0.09848
3.1,3.0,3.2,4.289,0.0053461,-0.0053461,0.076064,-0.076064
3.3,3.2,3.4,3.075265,0.0035905,-0.0035905,0.055424,-0.055424
3.5,3.4,3.6,2.244912,0.0028404,-0.0028404,0.040553,-0.040553
3.7,3.6,3.8,1.632221,0.0023546,-0.0023546,0.030192,-0.030192
3.9,3.8,4.0,1.222247,0.0019256,-0.0019256,0.022676,-0.022676
